City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Omboue,GA,2022-04-17 09:58:02,-1.5746,9.2618,85.59,66,99,6.44
165,Byron Bay,AU,2022-04-17 09:55:56,-28.65,153.6167,69.69,71,46,9.13
166,Marawi,PH,2022-04-17 09:58:03,7.9986,124.2928,70.79,96,100,3.78
167,Port Hardy,CA,2022-04-17 09:58:03,50.6996,-127.4199,42.8,93,0,4.61
168,Beringovskiy,RU,2022-04-17 09:58:04,63.05,179.3167,30.67,98,100,17.81
169,Selfoss,IS,2022-04-17 09:58:04,63.9331,-20.9971,46.04,80,100,8.48
170,Petropavlovsk-Kamchatskiy,RU,2022-04-17 09:58:04,53.0452,158.6483,32.59,64,0,4.47
171,Evensk,RU,2022-04-17 09:58:05,61.95,159.2333,29.46,90,100,8.03
172,Sao Filipe,CV,2022-04-17 09:58:05,14.8961,-24.4956,70.95,76,55,6.26
173,Souillac,MU,2022-04-17 09:58:06,-20.5167,57.5167,80.98,89,75,6.91
174,Turayf,SA,2022-04-17 09:58:06,31.6725,38.6637,79.05,13,0,4.61
175,San Luis,AR,2022-04-17 09:58:06,-33.295,-66.3356,55.26,54,1,7.07
176,Vakhrushev,RU,2022-04-17 09:58:07,48.9833,142.9667,32.14,91,94,3.18
177,Bethel,US,2022-04-17 09:58:07,41.3712,-73.414,39.94,94,20,3.0
178,New Norfolk,AU,2022-04-17 09:58:08,-42.7826,147.0587,64.89,64,100,5.01
179,Hithadhoo,MV,2022-04-17 09:58:08,-0.6,73.0833,83.62,69,100,5.12
180,Karasjok,NO,2022-04-17 09:58:09,69.4719,25.5112,38.84,98,100,9.55
181,Roswell,US,2022-04-17 09:58:04,34.0232,-84.3616,60.85,96,100,0.0
182,Nuuk,GL,2022-04-17 09:58:09,64.1835,-51.7216,14.23,84,82,4.7
183,Natchitoches,US,2022-04-17 09:58:09,31.7668,-93.1335,72.45,94,100,4.61
184,Palencia,ES,2022-04-17 09:58:10,42.4167,-4.5,57.92,34,71,2.95
185,Stephenville,US,2022-04-17 09:58:36,32.2207,-98.2023,57.74,65,100,5.75
186,Parintins,BR,2022-04-17 09:59:10,-2.6283,-56.7358,72.34,98,100,1.92
187,Urcos,PE,2022-04-17 09:59:10,-13.6861,-71.6228,45.28,93,28,2.8
188,Sobolevo,RU,2022-04-17 09:59:11,54.4299,31.8996,41.65,45,77,18.45
189,Waingapu,ID,2022-04-17 09:59:11,-9.6567,120.2641,82.2,79,100,7.94
190,Seddon,AU,2022-04-17 09:59:12,-37.8068,144.8916,78.82,43,100,11.5
191,Ucluelet,CA,2022-04-17 09:59:12,48.9329,-125.5528,36.09,89,39,2.08
192,Watertown,US,2022-04-17 09:58:09,42.3709,-71.1828,40.86,89,51,5.99
193,Nome,US,2022-04-17 09:59:13,64.5011,-165.4064,32.16,76,97,18.68
194,Lagoa,PT,2022-04-17 09:59:13,39.05,-27.9833,57.42,70,4,12.53
195,Jardim,BR,2022-04-17 09:59:12,-21.4803,-56.1381,63.77,68,96,2.53
196,Chazuta,PE,2022-04-17 09:59:13,-6.5742,-76.1367,73.72,91,93,0.98
197,Geraldton,AU,2022-04-17 09:59:14,-28.7667,114.6,70.21,60,64,18.41
198,Kununurra,AU,2022-04-17 09:59:14,-15.7667,128.7333,89.58,55,67,5.75
199,Ribeira Grande,PT,2022-04-17 09:59:15,38.5167,-28.7,61.2,72,20,10.36
200,Clyde River,CA,2022-04-17 09:59:15,70.4692,-68.5914,-18.17,76,0,5.75
201,Ahipara,NZ,2022-04-17 09:59:16,-35.1667,173.1667,63.36,89,100,19.77
202,Rossland,CA,2022-04-17 09:59:16,49.0831,-117.8022,29.71,76,100,11.01
203,Kalmthout,BE,2022-04-17 09:58:22,51.3846,4.4742,61.9,43,8,5.75
204,Namibe,AO,2022-04-17 09:59:17,-15.1961,12.1522,72.23,73,0,0.0
205,Les Cayes,HT,2022-04-17 09:59:17,18.2,-73.75,72.05,84,69,4.61
206,Olafsvik,IS,2022-04-17 09:59:17,64.8945,-23.7142,42.57,84,100,13.27
207,Tiksi,RU,2022-04-17 09:59:18,71.6872,128.8694,1.27,98,10,4.76
208,Sisimiut,GL,2022-04-17 09:59:18,66.9395,-53.6735,15.35,53,93,2.95
209,Pataskala,US,2022-04-17 09:59:18,39.9956,-82.6743,31.51,72,12,3.0
210,Mount Gambier,AU,2022-04-17 09:59:19,-37.8333,140.7667,60.71,94,100,4.61
211,Srednekolymsk,RU,2022-04-17 09:59:19,67.45,153.6833,10.62,94,98,6.06
212,Yulara,AU,2022-04-17 09:59:20,-25.2406,130.9889,85.84,23,1,11.5
213,Sao Borja,BR,2022-04-17 09:59:20,-28.6606,-56.0044,52.95,90,94,6.26
214,Banbury,GB,2022-04-17 09:59:21,52.0602,-1.3403,61.45,67,100,3.0
215,Caravelas,BR,2022-04-17 09:59:21,-17.7125,-39.2481,75.87,74,100,10.92
216,Kirkuk,IQ,2022-04-17 09:59:21,35.4681,44.3922,78.76,16,0,4.05
217,Tera,NE,2022-04-17 09:59:22,14.0078,0.7531,85.39,9,100,11.95
218,Iskateley,RU,2022-04-17 09:59:22,67.6803,53.1512,31.46,96,97,14.99
219,Springbok,ZA,2022-04-17 09:59:23,-29.6643,17.8865,76.86,20,0,4.99
220,Khatanga,RU,2022-04-17 09:59:23,71.9667,102.5,21.69,94,100,10.18
221,Burnie,AU,2022-04-17 09:59:23,-41.0667,145.9167,61.7,92,100,9.42
222,Xicotencatl,MX,2022-04-17 09:59:24,23.0167,-98.8833,77.47,87,60,3.4
223,Chokurdakh,RU,2022-04-17 09:59:24,70.6333,147.9167,-3.93,98,17,5.64
224,San Cristobal,VE,2022-04-17 09:59:25,7.7669,-72.225,66.7,88,100,1.34
225,Hobyo,SO,2022-04-17 09:59:25,5.3505,48.5268,88.38,62,61,13.33
226,Kuliyapitiya,LK,2022-04-17 09:59:25,7.4688,80.0401,87.48,57,64,8.99
227,Rio Gallegos,AR,2022-04-17 09:59:26,-51.6226,-69.2181,48.25,76,0,11.5
228,Rodrigues Alves,BR,2022-04-17 09:59:26,-7.738,-72.6509,69.12,98,8,2.08
229,Uvinza,TZ,2022-04-17 09:59:26,-5.1036,30.3911,76.1,74,100,5.91
230,Sovetskiy,RU,2022-04-17 09:59:27,61.3614,63.5842,32.45,82,100,11.01
231,Curuca,BR,2022-04-17 09:59:27,-0.7289,-47.8481,74.41,96,93,2.51
232,Kaitangata,NZ,2022-04-17 09:59:27,-46.2817,169.8464,46.89,94,97,5.75
233,Wanning,CN,2022-04-17 10:00:31,18.8003,110.3967,78.73,83,84,9.33
234,Windhoek,NA,2022-04-17 10:01:07,-22.5594,17.0832,78.12,24,39,1.99
235,Severnyy,RU,2022-04-17 10:01:07,50.677,36.5532,44.64,87,100,6.71
236,Victoria,HK,2022-04-17 09:58:57,22.2855,114.1577,75.18,71,98,10.0
237,Bonoua,CI,2022-04-17 10:01:07,5.2741,-3.595,82.02,89,100,3.85
238,Bengkulu,ID,2022-04-17 10:01:08,-3.8004,102.2655,82.65,82,72,4.43
239,Talnakh,RU,2022-04-17 10:01:08,69.4865,88.3972,15.82,92,97,13.13
240,Tornio,FI,2022-04-17 10:01:09,65.8481,24.1466,39.22,84,87,4.0
241,Djambala,CG,2022-04-17 10:01:09,-2.5447,14.7533,85.41,57,97,2.73
242,Guerrero Negro,MX,2022-04-17 10:01:09,27.9769,-114.0611,58.44,90,83,15.41
243,Onojo,JP,2022-04-17 10:01:10,33.5357,130.4786,62.35,44,0,8.05
244,Russkaya Polyana,UA,2022-04-17 10:01:10,49.417,31.9201,41.14,75,98,8.72
245,Najran,SA,2022-04-17 10:01:11,17.4924,44.1277,91.74,11,3,7.92
246,Kalmar,SE,2022-04-17 10:01:11,56.6616,16.3616,54.14,60,40,7.0
247,Inirida,CO,2022-04-17 10:01:11,3.8653,-67.9239,72.45,92,98,0.96
248,Muros,ES,2022-04-17 10:01:12,42.7762,-9.0603,59.85,75,100,9.64
249,Melilla,ES,2022-04-17 10:01:12,35.2937,-2.9383,75.58,38,0,3.44
250,Kruisfontein,ZA,2022-04-17 10:01:13,-34.0033,24.7314,66.88,53,83,3.36
251,Thunder Bay,CA,2022-04-17 09:57:51,48.4001,-89.3168,24.78,80,100,3.44
252,Yangjiang,CN,2022-04-17 09:57:18,21.85,111.9667,71.64,78,100,7.96
253,Bud,US,2022-04-17 10:01:13,39.447,-86.1758,37.17,73,70,9.4
254,Bambous Virieux,MU,2022-04-17 10:01:14,-20.3428,57.7575,81.21,80,42,15.14
255,Airai,TL,2022-04-17 10:01:14,-8.9266,125.4092,62.56,97,100,2.44
256,Pangnirtung,CA,2022-04-17 10:01:14,66.1451,-65.7125,8.6,96,100,1.45
257,Camacupa,AO,2022-04-17 10:01:15,-12.0167,17.4833,70.34,78,100,4.56
258,Atar,MR,2022-04-17 10:01:15,20.5169,-13.0499,92.28,9,10,22.62
259,Nelson Bay,AU,2022-04-17 09:57:35,-32.7167,152.15,70.0,84,25,11.88
260,Surt,LY,2022-04-17 10:01:16,31.2089,16.5887,64.42,68,84,22.57
261,La Ronge,CA,2022-04-17 10:01:16,55.1001,-105.2842,22.5,97,100,4.07
262,Aizpute,LV,2022-04-17 10:01:17,56.7167,21.6,45.63,34,75,5.7
263,Hope,US,2022-04-17 10:00:55,33.6671,-93.5916,60.08,99,100,8.46
264,Taszar,HU,2022-04-17 10:01:17,46.3747,17.9059,50.68,42,47,14.41
265,Alofi,NU,2022-04-17 10:01:18,-19.0595,-169.9187,81.75,75,50,10.69
266,Chicama,PE,2022-04-17 10:01:18,-7.8447,-79.1469,65.26,88,63,4.47
267,Marrakesh,MA,2022-04-17 10:00:50,31.6315,-8.0083,80.67,28,0,2.3
268,Rio Cuarto,AR,2022-04-17 10:01:18,-33.1307,-64.3499,56.48,61,12,7.4
269,Ust-Barguzin,RU,2022-04-17 10:01:19,53.45,108.9833,39.02,91,100,0.78
270,Ancud,CL,2022-04-17 10:01:19,-41.8697,-73.8203,48.24,86,59,1.48
271,Magan,ES,2022-04-17 10:01:20,39.9683,-3.931,68.52,39,14,4.09
272,Anupgarh,IN,2022-04-17 10:01:20,29.1911,73.2086,107.71,4,55,4.47
273,Isangel,VU,2022-04-17 10:01:21,-19.55,169.2667,80.49,81,100,2.42
274,Fortuna,US,2022-04-17 10:01:21,40.5982,-124.1573,39.65,95,0,8.05
275,Galle,LK,2022-04-17 10:01:21,6.0367,80.217,85.17,68,84,8.32
276,Port Augusta,AU,2022-04-17 10:01:22,-32.5,137.7667,67.73,82,100,18.3
277,Ayan,RU,2022-04-17 10:02:22,56.45,138.1667,25.07,81,63,3.27
278,Aswan,EG,2022-04-17 10:02:23,24.0934,32.907,103.33,7,96,7.29
279,Zhezkazgan,KZ,2022-04-17 10:02:23,47.8043,67.7144,75.18,29,0,13.42
280,Gilbues,BR,2022-04-17 10:02:23,-9.8317,-45.3439,72.16,93,100,2.06
281,Galesong,ID,2022-04-17 10:02:24,-5.3166,119.3661,84.22,78,97,1.41
282,Glens Falls,US,2022-04-17 10:02:24,43.3095,-73.644,37.04,94,100,1.99
283,Sinnamary,GF,2022-04-17 10:02:25,5.3833,-52.95,76.73,87,86,10.27
284,Sambava,MG,2022-04-17 10:02:25,-14.2667,50.1667,84.33,64,9,12.28
285,Florianopolis,BR,2022-04-17 09:58:59,-27.6146,-48.5012,66.42,76,75,2.3
286,Hamilton,US,2022-04-17 10:02:25,39.1834,-84.5333,36.99,70,0,8.05
287,Vestmannaeyjar,IS,2022-04-17 10:02:26,63.4427,-20.2734,44.4,79,100,10.87
288,Tonantins,BR,2022-04-17 10:02:26,-2.8731,-67.8022,72.57,99,100,0.85
